Title,Author,Rating,Number of users rated,Price
The Last Thing He Told Me: A Novel ,Laura Dave,4.3 out of 5 stars,"54,238",$14.00 
Where the Crawdads Sing ,Delia Owens,4.8 out of 5 stars,"195,549",$9.98 
Peril ,Bob Woodward,4.5 out of 5 stars,"12,723",$15.00 
Apples Never Fall ,Kindle,4.2 out of 5 stars,"3,456",$0.00 
The Sweetness of Water (Oprah's Book Club): A Novel ,Nathan Harris,4.5 out of 5 stars,"5,182",$14.99 
The Stranger in the Lifeboat: A Novel ,Mitch Albom,4.6 out of 5 stars,"2,637",$14.39 
The Wish ,Nicholas Sparks,4.8 out of 5 stars,"10,921",$14.00 
In Five Years: A Novel ,Rebecca Serle,4.4 out of 5 stars,"22,638",$11.06 
The Four Winds: A Novel ,Kristin Hannah,4.5 out of 5 stars,"82,605",$14.99 
The Beekeeper of Aleppo: A Novel ,Christy Lefteri,4.4 out of 5 stars,"18,957",$8.96 
The Judge's List: A Novel ,Kindle,4.5 out of 5 stars,"7,560",$0.00 
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II ,Sonia Purnell,4.6 out of 5 stars,"10,682",$13.39 
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood ",Gregg Olsen,4.4 out of 5 stars,"42,523",$11.98 
The Last Flight: A Novel ,Julie Clark,4.4 out of 5 stars,"16,710",$9.48 
The Couple Next Door: A Novel ,Shari Lapena,4.3 out of 5 stars,"23,700",$8.99 
American Dirt (Oprah's Book Club): A Novel ,Hardcover,4.6 out of 5 stars,251,$0.00 
Beach Read ,Emily Henry,4.4 out of 5 stars,"21,141",$7.35 
Spilled Milk: Based on a true story ,K.L Randis,4.7 out of 5 stars,"17,916",$12.92 
The Book of Two Ways: A Novel ,Jodi Picoult,4.1 out of 5 stars,"13,906",$10.99 
A Time for Mercy (Jake Brigance Book 3) ,Mass Market Paperback,4.6 out of 5 stars,"8,567",$9.99 
"The President and the Freedom Fighter: Abraham Lincoln, Frederick Douglass, and Their Battle to Save America's Soul ",Brian Kilmeade,4.8 out of 5 stars,528,$17.54 
The Midnight Library: A Novel ,Matt Haig,4.3 out of 5 stars,"119,697",$13.29 
The Book of Longings: A Novel ,Sue Monk Kidd,4.5 out of 5 stars,"12,652",$11.50 
