Title,Author,Rating,Number of users rated,Price
The Last Thing He Told Me: A Novel ,Laura Dave,4.3 out of 5 stars,"54,368",$14.00
The Wish ,Nicholas Sparks,4.8 out of 5 stars,"11,057",$14.00
Peril ,Bob Woodward,4.5 out of 5 stars, and ,$15.00
Where the Crawdads Sing ,Delia Owens,4.8 out of 5 stars,"195,606",$9.98
Apples Never Fall ,Kindle,4.2 out of 5 stars,Liane Moriarty,$0.00
The Sweetness of Water (Oprah's Book Club): A Novel ,Nathan Harris,4.5 out of 5 stars,"5,205",$14.99
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood ",Gregg Olsen,4.4 out of 5 stars,"42,558",$11.98
In Five Years: A Novel ,Rebecca Serle,4.4 out of 5 stars,"22,671",$11.06
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II ,Sonia Purnell,4.6 out of 5 stars,"10,692",$13.39
The Judge's List: A Novel ,Kindle,4.5 out of 5 stars,Other formats: ,$0.00
The Four Winds: A Novel ,Kristin Hannah,4.5 out of 5 stars,"82,686",$14.99
The Beekeeper of Aleppo: A Novel ,Christy Lefteri,4.4 out of 5 stars,"18,966",$8.96
The Couple Next Door: A Novel ,Shari Lapena,4.3 out of 5 stars,"23,719",$8.99
The Last Flight: A Novel ,Julie Clark,4.4 out of 5 stars,"16,756",$9.48
American Dirt (Oprah's Book Club): A Novel ,Hardcover,4.6 out of 5 stars,Jeanine Cummins,$0.00
"The President and the Freedom Fighter: Abraham Lincoln, Frederick Douglass, and Their Battle to Save America's Soul ",Brian Kilmeade,4.8 out of 5 stars,561,$17.54
Beach Read ,Emily Henry,4.4 out of 5 stars,"21,162",$7.35
The Midnight Library: A Novel ,Matt Haig,4.3 out of 5 stars,"119,843",$13.29
Spilled Milk: Based on a true story ,K.L Randis,4.7 out of 5 stars,"17,933",$12.92
The Book of Longings: A Novel ,Sue Monk Kidd,4.5 out of 5 stars,"12,660",$11.50
The Book of Two Ways: A Novel ,Jodi Picoult,4.1 out of 5 stars,"13,914",$10.99
The Lincoln Highway: A Novel ,Amor Towles,4.5 out of 5 stars,"10,825",$18.28
When We Believed in Mermaids: A Novel ,Barbara O'Neal,4.5 out of 5 stars,"46,433",$6.69
"The Story of The Masters: Drama, joy and heartbreak at golf's most iconic tournament ",David Barrett,4.7 out of 5 stars,66,$21.49
The Secrets We Keep: A gripping emotional page turner ,Kate Hewitt,4.2 out of 5 stars,"10,772",$3.99
Pretty Things: A Novel ,Paperback,4.3 out of 5 stars,Janelle Brown,$0.00
The Return ,Nicholas Sparks,4.6 out of 5 stars,"32,622",$12.48
A Time for Mercy (Jake Brigance Book 3) ,Mass Market Paperback,4.6 out of 5 stars,Other formats: ,$9.99
State of Terror: A Novel ,Louise Penny,4.5 out of 5 stars, and ,$15.00
Betrayal: The Final Act of the Trump Show ,Jonathan Karl,4.7 out of 5 stars,692,$23.49
Between Sisters: A Novel ,Kristin Hannah,4.5 out of 5 stars,"7,181",$13.99
The Lost Girls of Ireland: A heart-warming and feel-good page-turner set in Ireland (Starlight Cottages Book 1) ,Paperback,4.3 out of 5 stars,Other formats: ,$2.99
American Marxism ,Mark R. Levin,4.9 out of 5 stars,"21,875",$14.00
My Body ,Emily Ratajkowski,4.6 out of 5 stars,208,$16.90
Quiet: The Power of Introverts in a World That Can't Stop Talking ,Susan Cain,4.6 out of 5 stars,"16,024",$14.55
It All Comes Back to You: A Book Club Recommendation! ,Beth Duke,4.4 out of 5 stars,"5,580",$11.68
Educated: A Memoir ,Tara Westover,4.7 out of 5 stars,"57,763",$13.00
Anxious People: A Novel ,Fredrik Backman,4.4 out of 5 stars,"35,578",$13.12
The Guardians: A Novel ,Kindle,4.5 out of 5 stars,John Grisham,$0.00
The Best of Friends ,Lucinda Berry,4.3 out of 5 stars,"10,317",$0.00
"The Silent Daughter: A gripping pageturner of family secrets, with a twist you won't see coming (Claire Amarti Book Club Fiction) ",Claire Amarti,4.1 out of 5 stars,"7,470",$0.00
One Little Lie: A Thrilling Suspense Novel ,Christopher Greyson,4.3 out of 5 stars,791,$15.99
Freaking Idiots Guide To Selling On eBay: How anyone can make $100 or more everyday selling on eBay (Freaking Idiots Guides) ,Audible Audiobook,4.0 out of 5 stars,More Buying Choices,$15.99
Up and Down: Victories and Struggles in the Course of Life ,Bubba Watson,4.7 out of 5 stars, and ,$20.74
"The Greatest Beer Run Ever: A Memoir of Friendship, Loyalty, and War ",Kindle,4.6 out of 5 stars,"John ""Chick"" Donohue",$14.38
The Silent Wife: A gripping emotional page turner with a twist that will take your breath away ,Kerry Fisher,4.3 out of 5 stars,"14,182",$3.99
"Laptop from Hell: Hunter Biden, Big Tech, and the Dirty Secrets the President Tried to Hide ",Miranda Devine,4.5 out of 5 stars,168,$19.44
The Second Life of Mirielle West: A Haunting Historical Novel Perfect for Book Clubs ,Amanda Skenandore,4.6 out of 5 stars,714,$8.27
The Silent Patient ,Hardcover,4.5 out of 5 stars,Alex Michaelides,$0.00
The Stranger in the Lifeboat: A Novel ,Mitch Albom,4.6 out of 5 stars,"2,737",$14.39
The Extraordinary Life of Sam Hell: A Novel ,Robert Dugoni,4.6 out of 5 stars,"18,482",$0.00
The Boys: A Memoir of Hollywood and Family ,Ron Howard,4.7 out of 5 stars, and ,$18.84
The Unfit Heiress: The Tragic Life and Scandalous Sterilization of Ann Cooper Hewitt ,Audrey Clare Farley,4.0 out of 5 stars,139,$14.99
I Alone Can Fix It: Donald J. Trump's Catastrophic Final Year ,Philip Rucker,4.7 out of 5 stars,Carol Leonnig,$17.92
The Guilty Sister: An absolutely nail-biting psychological thriller with a shocking twist ,Arianne Richmonde,4.1 out of 5 stars,98,$3.99
Golden Girl ,Kindle,4.6 out of 5 stars,Elin Hilderbrand,$0.00
The Memory of an Elephant ,Alex Lasker,4.8 out of 5 stars,168,$13.99
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West (Thorndike Press Large Print Popular and Narrative Nonfiction) ,David McCullough,4.5 out of 5 stars,"6,107",$34.99
Billy Summers ,Stephen King,4.6 out of 5 stars,"25,289",$15.00
Caste (Oprah's Book Club): The Origins of Our Discontents ,Isabel Wilkerson,4.8 out of 5 stars,"35,977",$14.79
The Last Bookshop in London: A Novel of World War II ,Madeline Martin,4.5 out of 5 stars,"6,840",$13.58
